RS	station	elevation
0.0	0.0	3.653
0.0	0.576	3.941
0.0	3.576	3.941
0.0	6.484	2.002
0.0	8.643	2.002
0.0	8.884	2.002
0.0	8.884	-0.798
0.0	9.884	-0.798
0.0	110.483	-0.798
0.0	110.483	2.002
0.0	110.97	2.002
0.0	112.883	2.002
0.0	115.791	3.941
0.0	118.791	3.941
0.0	119.69	3.491
53.09	0.0	0.29
53.09	7.299	3.94
53.09	10.299	3.94
53.09	13.224	1.99
53.09	15.374	1.99
53.09	15.374	3.19
53.09	15.624	3.19
53.09	15.624	1.99
53.09	15.624	-0.81
53.09	26.589	-0.806
53.09	66.622	-0.81
53.09	66.622	1.99
53.09	66.622	3.19
53.09	66.872	3.19
53.09	66.872	1.99
53.09	69.022	1.99
53.09	71.947	3.94
53.09	74.947	3.94
53.09	78.954	1.936
100.0	0.0	0.803
100.0	6.272	3.939
100.0	9.272	3.939
100.0	12.21	1.98
100.0	14.36	1.98
100.0	14.36	3.18
100.0	14.61	3.18
100.0	14.61	1.98
100.0	14.61	-0.82
100.0	25.82	-0.82
100.0	44.609	-0.82
100.0	44.609	1.98
100.0	44.609	3.18
100.0	44.859	3.18
100.0	44.859	1.98
100.0	47.009	1.98
100.0	49.948	3.939
100.0	52.948	3.939
100.0	55.538	2.644
148.09	0.0	0.795
148.09	6.272	3.931
148.09	9.272	3.931
148.09	12.21	1.972
148.09	14.36	1.972
148.09	14.36	3.172
148.09	14.61	3.172
148.09	14.61	1.972
148.09	14.61	-0.828
148.09	25.82	-0.828
148.09	44.609	-0.828
148.09	44.609	1.972
148.09	44.609	3.172
148.09	44.859	3.172
148.09	44.859	1.972
148.09	47.009	1.972
148.09	49.948	3.931
148.09	52.948	3.931
148.09	55.538	2.636
182.47	0.0	0.431
182.47	6.998	3.93
182.47	9.998	3.93
182.47	12.713	2.12
182.47	14.863	2.12
182.47	14.863	3.32
182.47	15.113	3.32
182.47	15.113	2.12
182.47	15.113	-0.68
182.47	26.323	-0.68
182.47	45.112	-0.68
182.47	45.112	2.12
182.47	45.112	3.32
182.47	45.362	3.32
182.47	45.362	2.12
182.47	47.512	2.12
182.47	50.231	3.93
182.47	53.231	3.93
182.47	59.269	0.911
230.53	0.0	0.954
230.53	5.952	3.93
230.53	8.952	3.93
230.53	11.922	1.95
230.53	14.072	1.95
230.53	14.072	3.15
230.53	14.322	3.15
230.53	14.322	1.95
230.53	14.322	-0.85
230.53	25.531	-0.85
230.53	44.32	-0.85
230.53	44.32	1.95
230.53	44.32	3.15
230.53	44.57	3.15
230.53	44.57	1.95
230.53	46.72	1.95
230.53	49.689	3.93
230.53	52.689	3.93
230.53	59.039	0.755
268.38	0.0	1.532
268.38	4.668	3.922
268.38	7.668	3.922
268.38	10.653	1.932
268.38	12.803	1.932
268.38	12.803	3.132
268.38	13.053	3.132
268.38	13.053	1.932
268.38	13.053	-0.868
268.38	24.263	-0.868
268.38	43.052	-0.868
268.38	43.052	1.932
268.38	43.052	3.132
268.38	43.302	3.132
268.38	43.302	1.932
268.38	45.452	1.932
268.38	48.439	3.922
268.38	51.439	3.922
268.38	54.766	2.252
305.55	0.0	2.144
305.55	3.572	3.93
305.55	6.572	3.93
305.55	9.572	1.93
305.55	11.722	1.93
305.55	11.722	3.13
305.55	11.972	3.13
305.55	11.972	1.93
305.55	11.972	-0.87
305.55	23.182	-0.87
305.55	41.971	-0.87
305.55	41.971	1.93
305.55	41.971	3.13
305.55	42.221	3.13
305.55	42.221	1.93
305.55	44.371	1.93
305.55	47.375	3.93
305.55	50.375	3.93
305.55	56.352	0.941
376.59	0.0	1.451
376.59	4.958	3.93
376.59	7.958	3.93
376.59	10.973	1.92
376.59	13.123	1.92
376.59	13.123	3.12
376.59	13.373	3.12
376.59	13.373	1.92
376.59	13.373	-0.88
376.59	24.582	-0.88
376.59	43.372	-0.88
376.59	43.372	1.92
376.59	43.372	3.12
376.59	43.622	3.12
