
K0+000.00	
0	3.653
0.576	3.941
3.576	3.941
6.484	2.002
8.643	2.002
8.884	2.002
8.884	-0.798
9.884	-0.798
110.483	-0.798
110.483	2.002
110.97	2.002
112.883	2.002
115.791	3.941
118.791	3.941
119.69	3.491
K0+053.09	
0	0.29
7.299	3.94
10.299	3.94
13.224	1.99
15.374	1.99
15.374	3.19
15.624	3.19
15.624	1.99
15.624	-0.81
26.589	-0.806
66.622	-0.81
66.622	1.99
66.622	3.19
66.872	3.19
66.872	1.99
69.022	1.99
71.947	3.94
74.947	3.94
78.954	1.936
K0+100.00	
0	0.803
6.272	3.939
9.272	3.939
12.21	1.98
14.36	1.98
14.36	3.18
14.61	3.18
14.61	1.98
14.61	-0.82
25.82	-0.82
44.609	-0.82
44.609	1.98
44.609	3.18
44.859	3.18
44.859	1.98
47.009	1.98
49.948	3.939
52.948	3.939
55.538	2.644
K0+148.09	
0	0.795
6.272	3.931
9.272	3.931
12.21	1.972
14.36	1.972
14.36	3.172
14.61	3.172
14.61	1.972
14.61	-0.828
25.82	-0.828
44.609	-0.828
44.609	1.972
44.609	3.172
44.859	3.172
44.859	1.972
47.009	1.972
49.948	3.931
52.948	3.931
55.538	2.636
K0+182.47	
0	0.431
6.998	3.93
9.998	3.93
12.713	2.12
14.863	2.12
14.863	3.32
15.113	3.32
15.113	2.12
15.113	-0.68
26.323	-0.68
45.112	-0.68
45.112	2.12
45.112	3.32
45.362	3.32
45.362	2.12
47.512	2.12
50.231	3.93
53.231	3.93
59.269	0.911
K0+230.53	
0	0.954
5.952	3.93
8.952	3.93
11.922	1.95
14.072	1.95
14.072	3.15
14.322	3.15
14.322	1.95
14.322	-0.85
25.531	-0.85
44.32	-0.85
44.32	1.95
44.32	3.15
44.57	3.15
44.57	1.95
46.72	1.95
49.689	3.93
52.689	3.93
59.039	0.755
K0+268.38	
0	1.532
4.668	3.922
7.668	3.922
10.653	1.932
12.803	1.932
12.803	3.132
13.053	3.132
13.053	1.932
13.053	-0.868
24.263	-0.868
43.052	-0.868
43.052	1.932
43.052	3.132
43.302	3.132
43.302	1.932
45.452	1.932
48.439	3.922
51.439	3.922
54.766	2.252
K0+305.55	
0	2.144
3.572	3.93
6.572	3.93
9.572	1.93
11.722	1.93
11.722	3.13
11.972	3.13
11.972	1.93
11.972	-0.87
23.182	-0.87
41.971	-0.87
41.971	1.93
41.971	3.13
42.221	3.13
42.221	1.93
44.371	1.93
47.375	3.93
50.375	3.93
56.352	0.941
K0+376.59	
0	1.451
4.958	3.93
7.958	3.93
10.973	1.92
13.123	1.92
13.123	3.12
13.373	3.12
13.373	1.92
13.373	-0.88
24.582	-0.88
43.372	-0.88
43.372	1.92
43.372	3.12
43.622	3.12
43.622	1.92
45.772	1.92
48.792	3.93
51.792	3.93
55.952	1.85
K0+415.05	
0	0.542
6.76	3.922
9.76	3.922
12.79	1.902
14.94	1.902
14.94	3.102
15.19	3.102
15.19	1.902
15.19	-0.898
26.399	-0.898
45.189	-0.898
45.189	1.902
45.189	3.102
45.439	3.102
45.439	1.902
47.589	1.902
50.618	3.922
53.618	3.922
57.037	2.212
K0+475.77	
0	1.949
3.961	3.93
6.961	3.93
10.006	1.9
12.156	1.9
12.156	3.1
12.406	3.1
12.406	1.9
12.406	-0.9
23.615	-0.9
42.405	-0.9
42.405	1.9
42.405	3.1
42.655	3.1
42.655	1.9
44.805	1.9
47.856	3.951
50.856	3.951
57.272	0.743
K0+523.74	
0	0.788
6.283	3.93
9.283	3.93
12.343	1.89
14.493	1.89
14.493	3.09
14.743	3.09
14.743	1.89
14.743	-0.91
25.953	-0.91
44.742	-0.91
44.742	1.89
44.742	3.09
44.992	3.09
44.992	1.89
47.142	1.89
50.206	3.93
53.206	3.93
56.849	2.108
K0+575.57	
0	0.368
7.109	3.922
10.109	3.922
13.169	1.882
15.319	1.882
15.319	3.082
15.569	3.082
15.569	1.882
15.569	-0.918
26.778	-0.918
45.567	-0.918
45.568	1.882
45.568	3.082
45.818	3.082
45.818	1.882
47.967	1.882
51.027	3.925
54.027	3.925
58.748	1.565
K0+624.87	
0	0.165
7.513	3.922
10.513	3.922
13.588	1.872
15.738	1.872
15.738	3.072
15.988	3.072
15.988	1.872
15.988	-0.928
27.197	-0.928
45.987	-0.928
45.987	1.872
45.987	3.072
46.237	3.072
46.237	1.872
48.387	1.872
51.465	3.922
54.465	3.922
60.243	1.033
K0+676.10	
0	0.401
7.042	3.922
10.042	3.922
13.132	1.862
15.282	1.862
15.282	3.062
15.532	3.062
15.532	1.862
15.532	-0.938
26.741	-0.938
45.531	-0.938
45.531	1.862
45.531	3.062
45.781	3.062
45.781	1.862
47.931	1.862
51.021	3.922
54.021	3.922
59.714	1.076
K0+725.40	
0	0.669
6.506	3.922
9.506	3.922
12.611	1.852
14.761	1.852
14.761	3.052
15.011	3.052
15.011	1.852
15.011	-0.948
26.221	-0.948
45.01	-0.948
45.01	1.852
45.01	3.052
45.26	3.052
45.26	1.852
47.41	1.852
50.519	3.922
53.519	3.922
60.339	0.512
K0+776.70	
0	0.911
6.022	3.922
9.022	3.922
12.142	1.842
14.292	1.842
14.292	3.042
14.542	3.042
14.542	1.842
14.542	-0.958
25.752	-0.958
44.541	-0.958
44.541	1.842
44.541	3.042
44.791	3.042
44.791	1.842
46.941	1.842
50.06	3.922
53.06	3.922
59.859	0.523
K0+854.47	
0	0.768
6.308	3.922
9.308	3.922
12.443	1.832
14.593	1.832
14.593	3.032
14.843	3.032
14.843	1.832
14.843	-0.968
26.052	-0.968
44.841	-0.968
44.841	1.832
44.841	3.032
45.091	3.032
45.091	1.832
47.241	1.832
50.38	3.922
53.38	3.922
57.512	1.856
K0+876.84	
0	0.973
5.897	3.922
8.897	3.922
12.047	1.822
14.197	1.822
14.197	3.022
14.447	3.022
14.447	1.822
14.447	-0.978
25.657	-0.978
44.446	-0.978
44.446	1.822
44.446	3.022
44.696	3.022
44.696	1.822
46.846	1.822
49.994	3.922
52.994	3.922
58.32	1.259
K0+925.98	
0	0.735
6.373	3.922
9.373	3.922
12.523	1.822
14.673	1.822
14.673	3.022
14.923	3.022
14.923	1.822
14.923	-0.978
26.133	-0.978
44.922	-0.978
44.922	1.822
44.922	3.022
45.172	3.022
45.172	1.822
47.322	1.822
50.476	3.922
53.476	3.922
59.598	0.861
K0+976.98	
0	0.432
6.956	3.91
9.956	3.91
13.121	1.8
15.271	1.8
15.271	3
15.521	3
15.521	1.8
15.521	-1
26.73	-1
45.52	-1
45.52	1.8
45.52	3
45.77	3
45.77	1.8
47.92	1.8
51.09	3.91
54.09	3.91
60.668	0.621
K1+033.79	
0	0.157
7.506	3.91
10.506	3.91
13.686	1.79
15.836	1.79
15.836	2.99
16.086	2.99
16.086	1.79
16.086	-1.01
27.296	-1.01
46.085	-1.01
46.085	1.79
46.085	2.99
46.335	2.99
46.335	1.79
48.485	1.79
51.669	3.91
54.669	3.91
61.176	0.656
K1+076.46	
0	0.383
7.057	3.911
10.057	3.911
13.237	1.79
15.387	1.79
15.387	2.99
15.637	2.99
15.637	1.79
15.637	-1.01
26.847	-1.01
45.636	-1.01
45.636	1.79
45.636	2.99
45.886	2.99
45.886	1.79
48.036	1.79
51.219	3.911
54.219	3.911
60.756	0.642
K1+104.84	
0	0.59
6.64	3.91
9.64	3.91
12.85	1.77
15	1.77
15	2.97
15.25	2.97
15.25	1.77
15.25	-1.03
26.459	-1.03
45.249	-1.03
45.249	1.77
45.249	2.97
45.499	2.97
45.499	1.77
47.649	1.77
50.862	3.91
53.862	3.91
60.224	0.729
K1+177.03	
0	2.841
2.139	3.91
5.139	3.91
8.364	1.76
10.464	1.76
10.464	2.67
10.764	2.67
10.764	1.47
10.764	-1.046
40.762	-1.046
40.762	1.47
40.762	2.674
41.064	2.674
41.064	1.764
43.162	1.764
46.389	3.91
49.389	3.91
55.983	0.613
K1+222.00	
0	2.841
2.139	3.91
5.139	3.91
8.364	1.76
10.464	1.76
10.464	2.67
10.764	2.67
10.764	1.47
10.764	-1.046
40.762	-1.046
40.762	1.47
40.762	2.674
41.064	2.674
41.064	1.764
43.162	1.764
46.389	3.91
49.389	3.91
55.983	0.613
K1+277.85	
0	0.807
6.206	3.91
9.206	3.91
12.461	1.74
14.561	1.74
14.561	2.65
14.861	2.65
14.861	1.45
14.861	-1.066
44.86	-1.066
44.86	1.45
44.86	2.654
45.161	2.654
45.161	1.744
47.26	1.744
50.513	3.91
53.513	3.91
59.947	0.693
K1+322.91	
0	1.123
5.573	3.91
8.573	3.91
11.828	1.74
13.928	1.74
13.928	2.65
14.228	2.65
14.228	1.45
14.228	-1.066
44.227	-1.066
44.227	1.45
44.227	2.654
44.528	2.654
44.528	1.744
46.627	1.744
49.886	3.91
52.886	3.91
59.447	0.593
K1+376.44	
0	1.61
4.579	3.9
7.579	3.9
10.85	1.72
12.949	1.72
12.949	2.63
13.249	2.63
13.249	1.43
13.25	-1.086
43.248	-1.086
43.248	1.43
43.248	2.634
43.549	2.634
43.549	1.724
45.648	1.724
48.923	3.9
51.923	3.9
58.469	0.573
K1+423.08	
0	0.866
6.068	3.9
9.068	3.9
12.338	1.72
14.438	1.72
14.438	2.63
14.738	2.63
14.738	1.43
14.738	-1.086
44.737	-1.086
44.737	1.43
44.737	2.634
45.038	2.634
45.038	1.724
47.137	1.724
50.41	3.9
53.41	3.9
60.39	0.41
K1+476.03	
0	2.659
2.481	3.9
5.481	3.9
8.781	1.7
10.881	1.7
10.881	2.61
11.181	2.61
11.181	1.41
11.181	-1.106
41.18	-1.106
41.18	1.41
41.18	2.614
41.481	2.614
41.481	1.704
43.58	1.704
46.874	3.9
49.874	3.9
53.439	2.118
K1+523.24	
0	1.124
5.553	3.9
8.553	3.9
11.853	1.7
13.953	1.7
13.953	2.61
14.253	2.61
14.253	1.41
14.253	-1.106
44.252	-1.106
44.252	1.41
44.252	2.614
44.553	2.614
44.553	1.704
46.652	1.704
49.942	3.9
52.942	3.9
59.957	0.393
K1+576.36	
0	1.914
3.972	3.9
6.972	3.9
10.302	1.68
12.402	1.68
12.402	2.59
12.702	2.59
12.702	1.39
12.702	-1.126
42.701	-1.126
42.701	1.39
42.701	2.594
43.002	2.594
43.002	1.684
45.101	1.684
48.425	3.9
51.425	3.9
56.72	1.253
K1+623.32	
0	0.715
6.371	3.9
9.371	3.9
12.701	1.68
14.801	1.68
14.801	2.59
15.101	2.59
15.101	1.39
15.101	-1.126
45.1	-1.126
45.1	1.39
45.1	2.594
45.401	2.594
45.401	1.684
47.5	1.684
50.833	3.9
53.833	3.9
61.377	0.128
K1+672.60	
0	0.888
6.028	3.902
9.028	3.902
12.388	1.662
14.488	1.662
14.488	2.572
14.788	2.572
14.788	1.372
14.788	-1.145
44.787	-1.145
44.787	1.372
44.787	2.576
45.088	2.576
45.088	1.666
47.187	1.666
50.55	3.902
53.55	3.902
58.936	1.208
K1+723.35	
0	0.936
5.928	3.9
8.928	3.9
12.288	1.66
14.388	1.66
14.388	2.57
14.688	2.57
14.688	1.37
14.688	-1.146
44.687	-1.146
44.687	1.37
44.687	2.574
44.988	2.574
44.988	1.664
47.087	1.664
50.45	3.9
53.45	3.9
60.608	0.321
K1+775.40	
0	1.114
5.551	3.89
8.551	3.89
11.926	1.64
14.026	1.64
14.026	2.55
14.326	2.55
14.326	1.35
14.326	-1.166
44.325	-1.166
44.325	1.35
44.325	2.554
44.626	2.554
44.626	1.644
46.725	1.644
50.103	3.89
53.103	3.89
57.169	1.857
K1+824.14	
0	1.111
5.558	3.89
8.558	3.89
11.933	1.64
14.033	1.64
14.033	2.55
14.333	2.55
14.333	1.35
14.333	-1.166
44.331	-1.166
44.331	1.35
44.331	2.554
44.633	2.554
44.633	1.644
46.731	1.644
50.11	3.89
53.11	3.89
59.914	0.488
K1+880.37	
0	0.621
6.537	3.89
9.537	3.89
12.942	1.62
15.042	1.62
15.042	2.53
15.342	2.53
15.342	1.33
15.342	-1.186
45.341	-1.186
45.341	1.33
45.341	2.534
45.642	2.534
45.642	1.624
47.741	1.624
51.151	3.89
54.151	3.89
59.616	1.157
K1+925.56	
0	0.733
6.313	3.89
9.313	3.89
12.718	1.62
14.818	1.62
14.818	2.53
15.118	2.53
15.118	1.33
15.118	-1.186
45.117	-1.186
45.117	1.33
45.117	2.534
45.418	2.534
45.418	1.624
47.517	1.624
50.926	3.89
53.926	3.89
61.314	0.196
K1+982.02	
0	1.316
5.148	3.89
8.148	3.89
11.583	1.6
13.683	1.6
13.683	2.51
13.983	2.51
13.983	1.31
13.983	-1.206
43.982	-1.206
43.982	1.31
43.982	2.514
44.283	2.514
44.283	1.604
46.382	1.604
49.817	3.89
52.817	3.89
59.663	0.467
K2+028.97	
0	1.251
5.278	3.89
8.278	3.89
11.713	1.6
13.813	1.6
13.813	2.51
14.113	2.51
14.113	1.31
14.113	-1.206
44.112	-1.206
44.112	1.31
44.112	2.514
44.413	2.514
44.413	1.604
46.512	1.604
49.95	3.89
52.95	3.89
60.778	-0.024
K2+068.81	
0	1.238
5.304	3.89
8.304	3.89
11.769	1.58
13.869	1.58
13.869	2.49
14.169	2.49
14.169	1.29
14.169	-1.226
44.168	-1.226
44.168	1.29
44.168	2.494
44.469	2.494
44.469	1.584
46.568	1.584
50.034	3.89
53.034	3.89
59.033	0.891
K2+113.71	
0	0.967
5.846	3.89
8.846	3.89
12.311	1.58
14.411	1.58
14.411	2.49
14.711	2.49
14.711	1.29
14.711	-1.226
44.709	-1.226
44.709	1.29
44.709	2.494
45.011	2.494
45.011	1.584
47.109	1.584
50.578	3.89
53.578	3.89
60.593	0.383
K2+169.19	
0	1.129
5.521	3.89
8.521	3.89
12.016	1.56
14.116	1.56
14.116	2.47
14.416	2.47
14.416	1.27
14.416	-1.246
44.415	-1.246
44.415	1.27
44.415	2.474
44.716	2.474
44.716	1.564
46.815	1.564
50.312	3.89
53.312	3.89
57.833	1.63
K2+213.99	
0	0.652
6.475	3.89
9.475	3.89
12.97	1.56
15.07	1.56
15.07	2.47
15.37	2.47
15.37	1.27
15.37	-1.246
45.369	-1.246
45.369	1.27
45.369	2.474
45.67	2.474
45.67	1.564
47.769	1.564
51.268	3.89
54.268	3.89
61.642	0.203
K2+268.00	
0	1.207
5.369	3.89
8.369	3.89
11.894	1.54
13.994	1.54
13.994	2.45
14.294	2.45
14.294	1.25
14.294	-1.266
44.293	-1.266
44.293	1.25
44.293	2.454
44.594	2.454
44.594	1.544
46.693	1.544
50.222	3.89
53.222	3.89
59.07	0.966
K2+314.04	
0	1.248
5.284	3.89
8.284	3.89
11.809	1.54
13.909	1.54
13.909	2.45
14.209	2.45
14.209	1.25
14.209	-1.266
44.208	-1.266
44.208	1.25
44.208	2.454
44.509	2.454
44.509	1.544
46.608	1.544
50.136	3.89
53.136	3.89
60.049	0.434
