RS	station	elevation
664	-22.8	164.04
664	-17.3	164.02
664	-8.5	163.9
664	-1.4	163.79
664	-1.3	162.35
664	0	162.3
664	2	162.28
664	3.4	162.25
664	3.5	163.95
664	6.2	164.04
664	8.8	164.4
664	12.1	164.75
664	13.5	165.6
664	14	165.72
664	17.4	165.72
664	18.4	165.76
1011	-16.3	161.35
1011	-14.9	161.4
1011	-11.1	161.4
1011	-9.1	161.43
1011	-4.7	40161.76
1011	-4.6	40159.1
1011	-4	159.1
1011	-3	159.12
1011	0	159.25
1011	1	159.3
1011	3	159.33
1011	5.7	40159.4
1011	5.8	40161.8
1011	13.1	161.49
1011	20.48	161.41
1011	25.7	161.41
1011	32	161.46
1392	-32.7	161.17
1392	-28.9	161.28
1392	-28.6	161.15
1392	-27	160.1
1392	-21.1	160.03
1392	-20.7	158.81
1392	-19.5	158.66
1392	-13.8	158.34
1392	-12.4	158.26
1392	-9.1	157.85
1392	-6.2	40157.47
1392	-5.9	40153.05
1392	-4	153.05
1392	-2	153.08
1392	0	153.17
1392	0.6	153.2
1392	3	153.25
1392	6	153.69
1392	6.9	40153.84
1392	7	40156.82
1392	8.2	156.82
1392	14.1	156.83
1392	15.4	156.82
1392	24.4	156.82
3493	-36.1	141.17
3493	-30.3	140.92
3493	-26.4	140.54
3493	-20.6	140.77
3493	-18.1	140.95
3493	-14.3	140.95
3493	-7.6	40141.03
3493	-7.5	40136.25
3493	-6	136.08
3493	-3	136.05
3493	0	136.05
3493	2.8	136.7
3493	4	136.72
3493	7	136.68
3493	8.6	40136.66
3493	8.7	40140.98
3493	15.8	140.93
3493	26.1	141
3493	29.5	141.04
3702	-11.4	140.64
3702	-9.6	140.11
3702	-5.1	140.19
3702	-4.2	140.49
3702	-4.1	40140.5
3702	-4	40135.26
3702	-2	135.01
3702	0	134.95
3702	1	134.95
3702	3	134.97
3702	4.3	40134.06
3702	4.4	40140.42
3702	4.7	140.39
3702	5.3	140.07
3702	10.9	40139.87
3702	11	40138.07
3702	17.8	137.66
3702	20	137.7
4908	-35	127.52
4908	-33	127.5
4908	-30.6	125.66
4908	-22.7	125.69
4908	-20.8	125.88
4908	-17.8	128.94
4908	-16.4	129.09
4908	-9.6	40129.05
4908	-9.4	40125.52
4908	-6	124.98
4908	-3	124.87
4908	0	124.85
4908	3	124.82
4908	5	124.82
4908	6.9	125.34
4908	10.6	40125.72
4908	10.8	40129.39
4908	15.7	129.97
4908	21.2	130.25
4908	26.2	130.65
5843	-42	122.37
5843	-40.8	122.84
5843	-36.6	122.84
5843	-25.4	123.11
5843	-18.8	40118.9
5843	-18.8	40123.29
5843	-16	118.9
5843	-14	119.15
5843	-11	119.58
5843	-7	119.5
5843	-3	119.39
5843	0	119.41
5843	5	119.45
5843	10	119.65
5843	12.3	119.8
5843	19.7	40119.91
5843	19.7	40123.31
5843	26.5	123.18
5843	33.7	122.8
5843	40.3	122.6
5843	45	122.62
5843	46.8	122.7
7372	-45.2	113.64
7372	-42.8	113.63
7372	-40.2	114.62
7372	-34.5	114.56
7372	-19.5	114.6
7372	-11	115.1
7372	-6.9	40108.01
7372	-6.9	40115.23
7372	-0.7	108
7372	0	108.43
7372	1	108.7
7372	9.4	40108.85
7372	9.5	400115.4
7372	13.4	115.51
7372	22.3	115.79
9183	-42	96.9
9183	-36	96.9
9183	-27.3	96.6
9183	-20	96.21
9183	-12.5	95.66
9183	-4.6	95.19
9183	0	95.22
9183	2.4	95.2
9183	9.3	96.14
9183	21.5	97.2
9183	27.7	97.95
9352	-46.4	99.62
9352	-41.2	99.64
9352	-33.5	99.57
9352	-27.7	99
9352	-23.6	98.54
9352	-21.9	97.45
9352	-19.9	97.43
9352	-18.7	98.1
9352	-13	98.24
9352	-8.3	40092.73
9352	-8.3	40098.1
9352	-4.7	92.7
9352	0	92.91
9352	5.1	92.8
9352	10.9	40092.8
9352	10.9	40098.34
9352	14.5	98.44
9352	16	98.65
9352	16.5	99.21
